,country,weapon,date,text
16,Spain , AIM-120C Advanced Medium Range Air-to-Air Missile (AMRAAM)," September 2, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of…
17,France , C-130 Aircraft Support," September 2, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of…
18,United Kingdom , Hellfire Missiles," August 26, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of the…
19,Japan , AIM-120C-8 Advanced Medium Range Air-to-Air Missiles," August 26, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Japan…
20,Philippines ," Scout, Assault, and Light Support Boats with Armaments and Accessories"," July 30, 2020 ","The State Department has made a determination approving a possible Foreign Military Sale to the Government of the Philippines of Scout,…"
21,Kuwait , M1A2K Training Ammunition," July 28, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Kuwait of various M1A2K…
22,The Netherlands , AIM-120C-8 Advanced Medium Range Air-to-Air Missile (AMRAAM)," July 27, 2020 ",The State Department has made a…
23,Chile , F-16 Modernization," July 23, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Chile of…
24,Korea , Peace Krypton Follow-On Support and Equipment Upgrades," July 10, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea of items and services to…
25,Belgium , MK 54 Lightweight Torpedoes (LWT)," July 9, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Belgium…
26,Germany , MK 54 Lightweight Torpedoes (LWT)," July 9, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Germany…
27,Taipei Economic and Cultural Representative Office in the United States (TECRO) , Repair and Recertification of Patriot Advanced Capability-3 Missiles," July 9, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Taipei Economic and…
28,Japan , F-35 Joint Strike Fighter Aircraft," July 9, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Japan of…
29,Jordan , U-60M Black Hawk Helicopters," July 7, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Jordan of one (1) UH-60M…
30,Argentina , Stryker Infantry Carrier Vehicles," July 6, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Argentina of twenty-seven (27…
31,Indonesia , MV-22 Block C Osprey Aircraft," July 6, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Indonesia of eight (8) MV-…
32,Israel ," JP-8 Aviation Fuel, Diesel Fuel, and Unleaded Gasoline"," July 6, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Israel of approximately 990…
33,Lithuania , UH-60M Black Hawk Helicopters," July 6, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Lithuania of six (6) UH-60M…
34,France ," E-2D Advanced Hawkeye Aircraft, Spares and Support Equipment"," July 6, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of France of three (3) E-2D…
35,Ukraine , Mark VI Patrol Boats," June 17, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Ukraine…
36,Canada , Hornet Extension Program Related FMS Acquisitions," June 16, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Canada…
37,Kuwait , Patriot Advanced Capability (PAC-3) Missile Segment Enhancements (MSEs) with Canisters," May 28, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Kuwait of eighty-four (84)…
38,Kuwait , Patriot Missile Repair and Return," May 28, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Kuwait of a Patriot missile…
39,Kuwait , Patriot Program Sustainment and Technical Assistance Support," May 28, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Kuwait of Patriot program…
40,Taipei Economic and Cultural Representative Office in the United States (TECRO) , MK 48 Mod 6 Advanced Technology (AT) Heavy Weight Torpedo (HWT)," May 20, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to TECRO of eighteen (18) MK-48 Mod6 Advanced…
41,Hungary , Advanced Medium Range Air-to-Air Missiles Extended Range (AMRAAM-ER)," May 8, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to Hungary of sixty (60) AIM-120C-7/C-8 AMRAAM­ER…
42,United Arab Emirates (UAE) , Mine Resistant Ambush Protected (MRAP) Vehicles," May 7, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of the UAE of Excess Defense…
43,Egypt , AH-64E Refurbished Apache Attack Helicopters and Related Equipment and Support," May 7, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Egypt to refurbish forty-three…
44,Philippines , Apache AH-64E Attack Helicopters and Related Equipment and Support," April 30, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of the Philippines of six (6)…
45,Philippines , AH-1Z Attack Helicopters and Related Equipment and Support," April 30, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of the Philippines of six (6)…
46,United Arab Emirates (UAE) , Foreign Military Sales Order (FMSO) II Case," April 23, 2020 ",The State Department has made a determination approving a possible Foreign Military Sales Order (FMSO) II to provide funds for blanket…
47,Morocco , AGM-84L Harpoon Air Launched Block II Missiles," April 14, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Morocco of ten (10) AGM-84L…
48,India , AGM-84L Harpoon Air-Launched Block II Missiles," April 13, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of India of ten (10) AGM-84L…
49,India , MK 54 Lightweight Torpedoes," April 13, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of India of sixteen (16) MK 54…
50,The Netherlands , Excalibur Projectiles," April 10, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of the Netherlands of one…
51,Korea , F-35 Follow-On Support," April 10, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea for follow-on support…
52,Korea , F-16 Identification Friend or Foe (IFF) & Link 16 Upgrades," March 30, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea to…
53,Poland , Javelin Missile and Command Launch Unit," March 4, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to Poland of one hundred…
54,Morocco ," M88A2 Heavy Equipment Recovery Combat Utility Lift and Evacuation System (HERCULES), Support, and Equipment"," March 3, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to Morocco of twenty five (25…
55,Israel , KC-46A Aerial Refueling Aircraft," March 3, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to Israel of up to eight (8)…
56,Tunisia , AT-6 Light Attack Aircraft," February 26, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to Tunisia of four (4) AT…
57,Netherlands , MK-48 Torpedo Conversion Kits," February 26, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to the Netherlands of…
58,Jordan ," Artillery Command, Control and Communications (C3) Equipment"," February 26, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to Jordan of up to seven…
59,India , Integrated Air Defense Weapon System (IADWS) and Related Equipment and Support," February 10, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to India of an Integrated…
60,Australia , Long Range Anti-Ship Missiles (LRASMs)," February 7, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia of up to two…
61,Australia , Australia Surface Combatant (ASC) Program," January 15, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia of long lead…
62,Singapore , F-35B Short Take-Off and Vertical Landing (STOVL) Aircraft," January 9, 2020 ",The State Department has made a determination approving a possible Foreign Military Sale to Singapore of up to twelve (12) F-35B Short…
63,Argentina , Support for EDA P-3C Aircraft," December 19, 2019 ","The State Department has made a determination approving a possible Foreign Military Sale to Argentina of equipment, support and…"
64,New Zealand , C-130J Aircraft," November 20, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to New Zealand of five (5…
65,Australia , JCREW Systems and Support," November 20, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia of up to…
66,India , MK 45 Gun System," November 20, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to India of up to…
67,Morocco , AH-64E Helicopters," November 20, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Morocco of thirty-six…
68,United Arab Emirates (UAE) , CH-47F Chinook Cargo Helicopters," November 7, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab…
69,Croatia , UH-60M Black Hawk Helicopters," October 30, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Croatia of two (2) UH-…
70,Japan , F-15J Modernization," October 29, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan for the upgrade…
71,Bahrain ," Refurbishment of the Oliver Hazard Perry Class Ship,  Ex ROBERT G. BRADLEY (FFG 49)"," October 23, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Bahrain to refurbish…
72,Korea , AIM-120C Advanced Medium Range Air-to-Air Missile (AMRAAM)," October 17, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Korea of (120) AIM-120C…
73,Tunisia , T-6C Texan Trainer Aircraft," October 10, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Tunisia for twelve (12) T-6C Texan trainer…
74,Kuwait , M88A2 Recovery Vehicles and Related Equipment and Support," October 10, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Kuwait for nineteen (19) M88A2 Heavy…
75,Ukraine , Javelin Missiles and Command Launch Units," October 3, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Ukraine for one hundred…
76,Japan , Follow-On Technical Support (FOTS) for AEGIS Destroyers," October 1, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Japan…
77,Thailand , AH-6i Helicopters," September 24, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Thailand of eight (8) AH-6i light attack…
78,Qatar , Large Aircraft Infrared Countermeasures (LAIRCM) System for Head-of-State Aircraft," September 24, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Qatar of two AN/AAQ-24(V)N Large Aircraft…
79,Morocco , Additional F-16 Ammunition," September 12, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Morocco of additional…
80,Morocco ," TOW 2A, Radio Frequency (RF) Missiles (BGM-71-4B-RF)"," September 12, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Morocco of various…
81,Poland , F-35 Joint Strike Fighter Aircraft," September 11, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Poland of thirty-two…
82,Hungary , AIM-120C-7 Advanced Medium-Range Air-to-Air Missiles (AMRAAM)," August 27, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Hungary of one hundred…
83,Japan , Standard Missile-3 (SM-3) Block IIA Missiles," August 27, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Japan…
84,Lithuania , Joint Light Tactical Vehicles," August 27, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Lithuania of five…
85,Republic of Korea , MK-54 Lightweight Torpedoes," August 27, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea of…
86,Denmark , Airborne Low Frequency Sonar System and Sonobuoys," August 27, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of…
87,Taipei Economic and Cultural Representative Office in the United States (TECRO) , F-16C/D Block 70 Aircraft and Related Equipment and Support," August 20, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to TECRO for the 66 F-16C/D Block 70 aircraft…
88,Republic of Korea , MH-60R Multi-Mission Helicopters with Support," August 7, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea of MH-60R Multi-Mission…
89,Canada , Multifunctional Information Distribution System - Joint Tactical Radio System (MIDS-JTRS)," July 30, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Canada of one hundred fifty-two (152) MIDS-…
90,Egypt , Follow on Technical Support (FOTS) for Ships," July 30, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Egypt of Follow-On…
91,Korea , Contractor Logistics Support (CLS) for RQ-4 Block 30 Remotely Piloted Aircraft (RPA)," July 30, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea of…
92,Thailand , Stryker Infantry Carrier Vehicles ," July 26, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Thailand of 60 Stryker infantry carrier…
93,India , C-17 Sustainment Follow-on Support," July 26, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to India of C-17 sustainment follow-on support…
94,Pakistan , Technical Security Team (TST) in Continued Support of the F-16 Program," July 26, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Pakistan for Technical Security Team (TST) in…
95,Germany , Patriot Advanced Capability 3 (PAC-3) Missiles Segment Enhanced," July 12, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Germany of Patriot…
96,Greece , MH-60R Multi-Mission Helicopters," July 12, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Greece of MH-60R Multi-…
97,Taipei Economic and Cultural Representative Office in the United States (TECRO) , Stinger Missiles and Related Equipment and Support," July 8, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to TECRO for the Stinger missiles and related…
98,Taipei Economic and Cultural Representative Office in the United States (TECRO) , M1A2T Abrams Tanks and Related Equipment and Support," July 8, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to TECRO for the M1A2T Abrams…
99,Germany through the NATO Support and Procurement Agency (NSPA) , AGM-88E AARGM Missiles," June 28, 2019 ","The State Department has made a determination approving a possible Foreign Military Sale to Germany, through the NATO…"
100,Morocco , Sustainment for F-16 Fleet," June 27, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Morocco of continuation of sustainment support…
101,Bulgaria , F-16C/D Block 70/72 Aircraft with Support," June 3, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the Government of Bulgaria of F-16C/D Block 70/…
102,United Arab Emirates (UAE) , Follow-On U.S. Marine Corps Training," May 24, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates of…
103,United Arab Emirates (UAE) , RQ-21A Blackjack Unmanned Air Vehicles," May 24, 12019 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates…
104,Kingdom of Saudi Arabia , Continued Tactical Air Surveillance System Aircraft Support," May 24, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia…
105,Kingdom of Saudi Arabia , Aircraft Follow-on Support and Services," May 24, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia…
106,Kingdom of Saudi Arabia , Aircraft Follow-on Support and Services," May 24, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the Kingdom of Saudi Arabia…
107,United Arab Emirates (UAE) , Advanced Precision Kill Weapon System (APKWS)," May 24, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates of…
108,United Arab Emirates (UAE) , RQ-21A Blackjack Unmanned Air Vehicles," May 24, 12019 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Arab Emirates…
109,Canada , MK 54 Lightweight Torpedoes," May 17, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Canada of MK 54 lightweight…
110,Japan , AIM-120C-7 Advanced Medium-Range Air-to-Air Missiles (AMRAAM)," May 17, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan of AIM-120C-7…
111,Korea , SM-2 Block IIIB Standard Missiles," May 17, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Korea of SM-2 Block IIIB…
112,Qatar , AH-64E Apache Helicopters with Spare Parts and Related Equipment," May 9, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Qatar of twenty-four (24) AH…
113,Bahrain , Patriot Missile System and Related Support and Equipment," May 3, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Bahrain of various Patriot…
114,Czech Republic , AH-1Z Attack Helicopters," May 3, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Czech Republic of four AH-1Z…
115,Bahrain , Weapons to Support F-16 Block 70/F-16V Aircraft Fleet," May 3, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Bahrain of various weapons…
116,Czech Republic , UH-60M Black Hawk Helicopters," May 3, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Czech Republic of twelve UH-…
117,United Arab Emirates (UAE) , Patriot Missile System and Related Support Equipment," May 3, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to United Arab Emirates of four…
118,Taipei Economic and Cultural Representative Office in the United States (TECRO) , CONUS Based F-16 Training," April 15, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to TECRO for the…
119,Japan , Standard Missile (SM)-3 Block IB," April 9, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan of up to fifty-six (…
120,India , MH-60R Multi-Mission Helicopters," April 2, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to India of twenty-four (24) MH-60R Multi-Mission…
121,Belgium , MQ-9B SkyGuardian Remotely Piloted Aircraft (RPA)," March 26, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Belgium of MQ-9B…
122,Morocco , F-16 Block 52+ Upgrade to F-16V Configuration," March 25, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Morocco to upgrade its…
123,Morocco , F-16 Block 72 New Purchase," March 25, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Morocco of F-16C/D Block…
124,Spain , Assault Amphibious Vehicles," March 15, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Spain of Assault…
125,Australia , AIM-120C-7 Advanced Medium-Range Air-to-Air Missiles," March 13, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia of AIM-120C-7…
126,Israel , Namer Armored Personnel Carrier (APC-MT883) Power Packs Less Transmissions (NPPLT) and Integrated Logistics Support," February 12, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Israel of Namer Armored Personnel Carrier…
127,India , 777 Large Aircraft Infrared Countermeasures Self-Protection Suite," February 6, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to India of two (2) 777 Large Aircraft…
128,Japan , AEGIS Weapon System," January 29, 2019 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan of two (2) AEGIS…
129,Turkey , Patriot Missile System and Related Support and Equipment," December 18, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Turkey of eighty (80)…
130,Morocco ," Abrams Tank Enhancement, Support, and Equipment"," November 29, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Morocco of…
131,Poland , High Mobility Artillery Rocket System (HIMARS) and Related Support and Equipment," November 29, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Poland of (20) High…
132,Egypt , AH-64E Apache Attack Helicopters and Related Equipment and Support," November 27, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Egypt of ten (10) AH-…
133,Qatar , Advanced Medium Range Air-to-Air Missiles (AMRAAM) and Related Equipment and Support for NASAMS," November 27, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Qatar of defense…
134,Egypt , 120MM Tank Rounds," November 27, 2018 ",The State Department has made a determination approving a possible Foreign Military…
135,NATO Support and Procurement Agency , Precision Guided Munitions," Nov. 19, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the NATO Support and…
136,Japan , AIM-120C-7 Advanced Medium-Range Air-to-Air Missiles (AMRAAM)," Nov. 19, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan of thirty-two (32)…
137,Japan , Standard Missile-3 (SM-3) Missiles," Nov. 19, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan of eight (8)…
138,United Kingdom , H-47 Chinook (Extended Range) Helicopters and Accessories," October 19, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom of…
139,Canada ," King Air 350ER ISR Aircraft (Manned Airborne, Intelligence, Surveillance and Reconnaissance (MAISR) Platform)"," October 4, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Canada of three (3) King Air 350ER (extended…
140,Iraq , Armed Bell 407GX Helicopters," October 4, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Iraq of five (5) Armed…
141,Bahrain , M31 Guided Multiple Launch Rocket System (GMLRS) Unitary and Army Tactical Mission System (ATACMS) T2K Unitary Missile," September 28, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Bahrain of Guided…
142,Taipei Economic and Cultural Representative Office in the United States (TECRO) , Foreign Military Sales Order (FMSO) II Case," September 24, 2018 ",The State Department has made a determination approving a possible Foreign Military Sales Order (FMSO) II to…
143,United Kingdom , Phalanx Baseline 2 Radar Upgrade Kits," September 20, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom of…
144,United Kingdom , SEAL Delivery Vehicle (SDV) MK 11 Shallow Water Combat Submersibles (SWCS)," September 20, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom of…
145,Egypt , 120MM Tank Rounds," September 17, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Egypt of forty-six…
146,Korea , P-8A Aircraft and Associated Support," Sept. 13, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea (…
147,Korea , Patriot Advanced Capability-3 (PAC-3) Missile Segment Enhancement (MSE) Missiles," Sept. 13, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the Republic of Korea (…
148,Japan , E-2D Advanced Hawkeye Airborne Early Warning and Control Aircraft," Sept. 10, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Japan of up to nine (9) E…
149,The Netherlands , Patriot Recapitalization (RECAP)," Sept. 5, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the Netherlands of four (4…
150,Mexico , Evolved Seasparrow Missiles," August 9, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Mexico of six (6) Evolved…
151,Latvia , UH-60M Black Hawk Helicopters," AUG. 3, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Latvia of four (4) UH-60M…
152,Kuwait , Munitions," AUG. 2, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Kuwait of various Mk-…
153,The Netherlands , MK 54 Lightweight Torpedoes," July 31, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the Netherlands of one hundred six (106) MK…
154,Denmark , SM-2 Block IIIA Standard Missiles," July 31, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Denmark of up to forty-six (46) Standard…
155,Bahrain , Improved Target Acquisition System (ITAS) Launchers," July 30, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Bahrain of twenty-eight (28) TOW Improved…
156,Kuwait , Munitions," July 30, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Kuwait of three hundred (300) AGM-114R…
157,Bahrain , Follow-On Technical Support (FOTS) for the Royal Bahrain Navy Ship SABHA (FFG-90)," July 26, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Bahrain of items and…
158,Denmark , AIM-120 C-7 Advanced Medium Range Air-to-Air Missile (AMRAAM)," July 10, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Denmark of twenty-eight (…
159,United Kingdom , AIM-120D Advanced Medium Range Air-to-Air Missile (AMRAAM)," July 10, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the United Kingdom of up to two hundred (200)…
160,Australia , AEGIS Combat System Equipment for Australia Surface Combatants," June 26, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Australia of equipment associated with the…
161,Spain , AEGIS Combat System," June 26, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Spain of five (5) AEGIS Weapons Systems (AWS…
162,India , Support for Direct Commercial Sale of AH-64E Apache Helicopters," Jun. 12, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to India of items in support of a proposed direct…
163,Bahrain , Munitions," May 18, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Bahrain of General Purpose (…
164,Germany , C-130J and KC-130J Aircraft," May. 4, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Germany of three (3) C-130J…
165,Bahrain , AH-l Z Attack Helicopters," APR. 27, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Bahrain of AH-1Z attack…
166,Netherlands , M1156 Precision Guided Kits," Apr. 24, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the Netherlands of three…
167,Netherlands ," F-16 Formal Training Unit at Tucson Air National Guard Base (ANGB), Arizona"," Apr. 24, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to the Netherlands of defense…
168,Mexico , MH-60R Multi-Mission Helicopters," Apr. 19, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Mexico of MH-60R Multi-…
169,Qatar,Advanced Precision Kill Weapon Systems (APKWS)," Apr. 9, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Qatar of Advanced Precision…
170,The Kingdom of Saudi Arabia , 155mm M109A6 Paladin Medium Self-Propelled Howitzer System," Apr. 5, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Saudi Arabia of 155mm…
171,Germany , MQ-4C Triton Unmanned Aircraft Systems (UAS)," Apr. 5, 2018 ",The State Department has made a determination approving a possible Foreign Military Sale to Germany of MQ-4C Triton…
